"geno.v.wt","gene1","gene2","cell_group","estimate","std.error","statistic","p.value","qval","emb_mean","abund_log2fc","timepoint","gene1_expr","gene2_expr","both_expr","neither_expr"
"cdx4","cdx4",NA,"fin mesenchyme",0.916987162912506,0.0913652220509859,10.0365012236361,1.05344581286724e-23,2.94964827602826e-22,63,1.2464378953031,"18",FALSE,NA,FALSE,FALSE
"cdx4","cdx4",NA,"head mesenchyme (maybe ventral, hand2+)",0.59325448164585,0.0700041197082655,8.4745652701323,2.35959011974024e-17,5.42100704432631e-16,46,0.820450579669287,"18",FALSE,NA,FALSE,FALSE
"cdx4","cdx4",NA,"myeloid cell",0.58810235504533,0.148202555713079,3.96823355856224,7.24073522923166e-05,0.00037939758861939,14,0.788495894806288,"18",FALSE,NA,FALSE,FALSE
"cdx4","cdx4",NA,"cranial muscle (progenitor)",0.569093685098417,0.111159286648212,5.1196234004221,3.06146393285165e-07,2.58780347531612e-06,27,0.736965594166206,"18",FALSE,NA,FALSE,FALSE
"cdx4","cdx4",NA,"posterior lateral line primordium",0.537664391146963,0.178338721274713,3.01484942419624,0.0025710686328559,0.00872605111757155,9,0.700439718141092,"18",FALSE,NA,FALSE,FALSE
"cdx4","cdx4",NA,"head/eye connective tissue",0.479768299991522,0.0703426705306235,6.82044477942668,9.07590699292599e-12,1.29079566121614e-10,71,0.678071905112638,"18",FALSE,NA,FALSE,FALSE
"cdx4","cdx4",NA,"pharyngeal arch (early)",0.39783507165228,0.191428257389677,2.07824632098298,0.0376866777231903,0.0848423699496946,16,0.289506617194985,"18",FALSE,NA,FALSE,FALSE
"cdx4","cdx4",NA,"notochord",0.370023471674694,0.127592714331557,2.90003605310227,0.00373119740868528,0.0117716650640212,38,0.533432200081074,"18",FALSE,NA,FALSE,FALSE
"cdx4","cdx4",NA,"neural tube-like connective tissue (+ taste bud)",0.343313677083524,0.120868214263625,2.84039670127601,0.00450574630971573,0.0140178774080045,22,0.465663572348812,"18",FALSE,NA,FALSE,FALSE
"cdx4","cdx4",NA,"ionocyte/goblet cell",0.293031978304143,0.0961508779710659,3.04762665185776,0.0023065630384363,0.00810462934289774,31,0.415037499278844,"18",FALSE,NA,FALSE,FALSE
